mu,config,n_programmes,cov_mean,cov_std,top1_unique,head_tied,top5_generalists,top5_max_repeat,top1_score_mean,top1_score_max,top1_score_median,score_mean_all,score_median_all
0.0,mu_0.00,45,0.6352,0.1186,13,11,6,31,0.4709,0.9322,0.4661,0.0941,0.0768
0.1,mu_0.10,45,0.6383,0.122,15,14,6,31,0.4346,0.8477,0.4195,0.0859,0.0694
0.15,mu_0.15,45,0.6406,0.1244,15,12,6,31,0.4182,0.8054,0.3962,0.0818,0.0656
0.2,mu_0.20,45,0.6435,0.1272,16,12,6,30,0.402,0.7632,0.3729,0.0777,0.0618
0.25,mu_0.25,45,0.6472,0.1309,17,11,6,30,0.3862,0.7209,0.3496,0.0736,0.058
0.3,mu_0.30,45,0.652,0.1355,16,11,7,30,0.3717,0.6786,0.3263,0.0695,0.0542
0.4,mu_0.40,45,0.6661,0.1492,18,11,6,29,0.3459,0.6236,0.2885,0.0613,0.0465
0.5,mu_0.50,45,0.6899,0.1731,19,10,5,28,0.323,0.6278,0.2891,0.0531,0.0388
