lambda,config,n_programmes,cov_mean,cov_std,top1_unique,head_tied,top5_generalists,top5_max_repeat,top1_score_mean,top1_score_max,top1_score_median,score_mean_all,score_median_all
0.0,lambda_0.00,45,0.6214,0.1152,8,13,9,34,0.8101,1.0,0.8109,0.1648,0.1455
0.1,lambda_0.10,45,0.6214,0.1152,8,13,9,34,0.7387,0.9322,0.8109,0.1506,0.1329
0.15,lambda_0.15,45,0.6215,0.1152,8,13,9,34,0.703,0.9322,0.7924,0.1436,0.1266
0.2,lambda_0.20,45,0.6219,0.1152,8,13,9,34,0.6673,0.9322,0.7458,0.1365,0.1197
0.25,lambda_0.25,45,0.6226,0.1153,8,13,9,34,0.6316,0.9322,0.6992,0.1294,0.1127
0.3,lambda_0.30,45,0.6236,0.1154,8,13,8,34,0.5959,0.9322,0.6526,0.1224,0.106
0.35,lambda_0.35,45,0.6251,0.1156,8,14,8,34,0.5602,0.9322,0.6059,0.1153,0.0988
0.4,lambda_0.40,45,0.6273,0.1161,10,16,6,32,0.5261,0.9322,0.5593,0.1082,0.0915
0.5,lambda_0.50,45,0.6352,0.1186,13,11,6,31,0.4709,0.9322,0.4661,0.0941,0.0768
