rank,programme_name,institution,job_title,job_url,hybrid_score,semantic_score,top_skill_gaps
1,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,IT skyriaus vadovas (-ė),https://en.cvbankas.lt/it-skyriaus-vadovas-e-vilniuje/1-13758531,0.2194,0.5854,
2,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,IT sistemų testuotojas (-a),https://en.cvbankas.lt/it-sistemu-testuotojas-a-kaune/1-13761915,0.1644,0.5587,
3,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,IT Vadovas (-ė),https://en.cvbankas.lt/it-vadovas-e-kaune/1-13700339,0.1581,0.5794,
4,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,IT administratorius (-ė),https://en.cvbankas.lt/it-administratorius-e-kaune/1-13637509,0.1555,0.5718,
5,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,IT SISTEMŲ ADMINISTRATORIŲ (-Ę),https://en.cvbankas.lt/it-sistemu-administratoriu-e-vilniuje/1-13734017,0.1419,0.5325,
6,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,KIBERNETINIO SAUGUMO VADOVAS (-Ė),https://en.cvbankas.lt/kibernetinio-saugumo-vadovas-e-kaune/1-13760617,0.1336,0.5989,
7,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,IT sistemų testuotojas (-a),https://en.cvbankas.lt/it-sistemu-testuotojas-a-kaune/1-13736493,0.1203,0.5467,
8,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,IT sistemų ir kibernetinio saugumo administratorius (-ė),https://en.cvbankas.lt/it-sistemu-ir-kibernetinio-saugumo-administratorius-e-kaune/1-13608923,0.1183,0.6223,renewable energy; digital identity management; security regulations
9,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,Cyber Security Specialist,https://en.cvbankas.lt/cyber-security-specialist-vilniuje/1-13680669,0.1179,0.5658,
10,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,IT VERSLO ANALITIKAS (-Ė),https://en.cvbankas.lt/it-verslo-analitikas-e-vilniuje/1-13685665,0.1127,0.562,
1,Development and Maintenance of Information Systems,Panevėžio kolegija/State Higher Education Institution,KIBERNETINIO SAUGUMO VADOVAS (-Ė),https://en.cvbankas.lt/kibernetinio-saugumo-vadovas-e-kaune/1-13760617,0.1463,0.5711,
2,Development and Maintenance of Information Systems,Panevėžio kolegija/State Higher Education Institution,IT skyriaus administratorius (-ė),https://en.cvbankas.lt/it-skyriaus-administratorius-e-klaipedoje/1-13740999,0.1424,0.5056,
3,Development and Maintenance of Information Systems,Panevėžio kolegija/State Higher Education Institution,IT sistemų administratorius (-ė),https://en.cvbankas.lt/it-sistemu-administratorius-e-vilniuje/1-13756627,0.1306,0.5141,
4,Development and Maintenance of Information Systems,Panevėžio kolegija/State Higher Education Institution,OSINT Specialistas,https://en.cvbankas.lt/osint-specialistas-vilniuje/1-13474247,0.1288,0.5199,
5,Development and Maintenance of Information Systems,Panevėžio kolegija/State Higher Education Institution,IT INFRASTRUKTŪROS ADMINISTRATORIUS (-Ė),https://en.cvbankas.lt/it-infrastrukturos-administratorius-e-klaipedoje/1-13736439,0.121,0.5119,
6,Development and Maintenance of Information Systems,Panevėžio kolegija/State Higher Education Institution,IT Compliance & Process manager,https://en.cvbankas.lt/it-compliance-process-manager-vilniuje/1-13722075,0.12,0.4979,
7,Development and Maintenance of Information Systems,Panevėžio kolegija/State Higher Education Institution,IT Vadovas (-ė),https://en.cvbankas.lt/it-vadovas-e-kaune/1-13700339,0.1191,0.5256,
8,Development and Maintenance of Information Systems,Panevėžio kolegija/State Higher Education Institution,IRT specialistas (-ė) (SOC ir IT saugos sritis) | Technologijų skyrius,https://en.cvbankas.lt/irt-specialistas-e-soc-ir-it-saugos-sritis-technologiju-skyrius-vilniuje/1-13733709,0.1057,0.5053,
9,Development and Maintenance of Information Systems,Panevėžio kolegija/State Higher Education Institution,Vyr. sistemų analitikas (-ė) (Gyventojų registrui),https://en.cvbankas.lt/vyr-sistemu-analitikas-e-gyventoju-registrui-vilniuje/1-13737929,0.0934,0.5161,
10,Development and Maintenance of Information Systems,Panevėžio kolegija/State Higher Education Institution,IT skyriaus vadovas (-ė),https://en.cvbankas.lt/it-skyriaus-vadovas-e-vilniuje/1-13758531,0.0918,0.5102,
1,Information Systems,Kaunas University of Technology,IT ADMINISTRATORIUS (-Ė),https://en.cvbankas.lt/it-administratorius-e-klaipedoje/1-13759179,0.1806,0.5299,
2,Information Systems,Kaunas University of Technology,IT INFRASTRUKTŪROS ADMINISTRATORIUS (-Ė),https://en.cvbankas.lt/it-infrastrukturos-administratorius-e-klaipedoje/1-13736439,0.1696,0.5307,
3,Information Systems,Kaunas University of Technology,IT skyriaus administratorius (-ė),https://en.cvbankas.lt/it-skyriaus-administratorius-e-klaipedoje/1-13740999,0.1555,0.5152,
4,Information Systems,Kaunas University of Technology,Verslo sistemų ir procesų analitikas (-ė),https://en.cvbankas.lt/verslo-sistemu-ir-procesu-analitikas-e-vilniuje/1-13699299,0.1549,0.5018,
5,Information Systems,Kaunas University of Technology,IT sistemų administratorius (-ė),https://en.cvbankas.lt/it-sistemu-administratorius-e-vilniuje/1-13756627,0.1473,0.5049,
6,Information Systems,Kaunas University of Technology,IT skyriaus vadovas (-ė),https://en.cvbankas.lt/it-skyriaus-vadovas-e-vilniuje/1-13758531,0.1469,0.5457,
7,Information Systems,Kaunas University of Technology,Duomenų inžinierius (-ė) – analitikas (-ė),https://en.cvbankas.lt/duomenu-inzinierius-e-analitikas-e-kaune/1-13706283,0.1325,0.5143,"digital data processing; data extraction, transformation and loading tools; data analytics"
8,Information Systems,Kaunas University of Technology,Baltic IT Business Analyst,https://en.cvbankas.lt/baltic-it-business-analyst-vilniuje/1-13702403,0.1307,0.5874,business analysis; ecosystems; web services
9,Information Systems,Kaunas University of Technology,Join our team as a JUNIOR System Analyst!,https://en.cvbankas.lt/join-our-team-as-a-junior-system-analyst-darbas-namuose/1-13699867,0.1278,0.529,
10,Information Systems,Kaunas University of Technology,IT Vadovas (-ė),https://en.cvbankas.lt/it-vadovas-e-kaune/1-13700339,0.1253,0.5341,
1,Information Systems,Vilnius Gediminas Technical University,IT sistemų testuotojas (-a),https://en.cvbankas.lt/it-sistemu-testuotojas-a-kaune/1-13761915,0.2523,0.5601,
2,Information Systems,Vilnius Gediminas Technical University,IT sistemų testuotojas (-a),https://en.cvbankas.lt/it-sistemu-testuotojas-a-kaune/1-13736493,0.2104,0.5545,MySQL; SQL
3,Information Systems,Vilnius Gediminas Technical University,BI programuotojas (-a),https://en.cvbankas.lt/bi-programuotojas-a-kaune/1-13753903,0.1858,0.5281,
4,Information Systems,Vilnius Gediminas Technical University,Pardavimų inžinierius (-ė) KLAIPĖDA,https://en.cvbankas.lt/pardavimu-inzinierius-e-klaipeda-klaipedoje/1-13737297,0.1459,0.5526,
5,Information Systems,Vilnius Gediminas Technical University,Duomenų analitikas (-ė) - inžinierius (-ė),https://en.cvbankas.lt/duomenu-analitikas-e-inzinierius-e-kaune/1-13743279,0.1425,0.5305,
6,Information Systems,Vilnius Gediminas Technical University,Duomenų inžinierius (-ė) – analitikas (-ė),https://en.cvbankas.lt/duomenu-inzinierius-e-analitikas-e-kaune/1-13706283,0.1363,0.5342,"assume responsibility; data extraction, transformation and loading tools; data analytics"
7,Information Systems,Vilnius Gediminas Technical University,IT System Team Coordinator,https://en.cvbankas.lt/it-system-team-coordinator-vilniuje/1-13766799,0.134,0.5266,
8,Information Systems,Vilnius Gediminas Technical University,Baltic IT Business Analyst,https://en.cvbankas.lt/baltic-it-business-analyst-vilniuje/1-13702403,0.1286,0.6097,
9,Information Systems,Vilnius Gediminas Technical University,Vyr. sistemų analitikas (-ė) (Gyventojų registrui),https://en.cvbankas.lt/vyr-sistemu-analitikas-e-gyventoju-registrui-vilniuje/1-13737929,0.124,0.5597,
10,Information Systems,Vilnius Gediminas Technical University,SAP DATA Services Developer with verification,https://www.linkedin.com/jobs/view/4390914503/?eBP=CwEAAAGdXVTxFcI6g9hH53N1HLbm8qUIlDCF29qdU73aSnKw2A9Sm0OKg4wH1WUAV60u3dhjnQkze7yyqC8OEFvq91eR0kmqJg2F9SZgBy-P0l_zmfETpFkq7EO-iFmTiW0lQC6yfMwoTMijJbMFzdQlKLaeJpq-M-k8CYM61f7srpH_zkGA7_ZRru4Kzhvn1PSdxJCJq5jSve_PRB9Beni0IliEe8GgTy8tBCz9opPwsSievwfmSWA0FCFyh_TXiVZRcgT4mjCCpPSi36AtP-2FA3uN6prNDU3tolKpvnY0vmtulhj6BUoWYmPeBB1H_jeY849GGS1D0CpyEzazZLt54NP9bRVV-gtaUWujPp9BGT73-wQGvj4NktTMBrr8XjZnRWa0NHHbGBnv9Thh98ifEFRjhVxb8ztaftEHHQfaBDX9nCYY0T_7brNhqeOe4R5wZXX1Pay8S4S7UwG0SJxjQTxoL12iGaa1GUEZC1PE-oL8kZJ4sHR4OmKC3avjeXcVrsqxpKnpmsdCamYtX3BNMR_EowrEaFmIY5Sr9w&refId=8E32x5IjZ%2BhE0AVcGSKhpw%3D%3D&trackingId=sAoLzTehYU0i6vxN8a7ZUw%3D%3D&trk=flagship3_search_srp_jobs,0.119,0.5354,
1,Marketing Technologies,Vilnius University,E-commerce Customer Success Manager (Account Manager),https://en.cvbankas.lt/e-commerce-customer-success-manager-account-manager-vilniuje/1-13619331,0.3244,0.5194,
2,Marketing Technologies,Vilnius University,Marketingo ir pardavimų vadovo asistentas (-ė),https://en.cvbankas.lt/marketingo-ir-pardavimu-vadovo-asistentas-e-vilniuje/1-13288765,0.3075,0.53,
3,Marketing Technologies,Vilnius University,Mid/Senior Meta Media Buyer,https://en.cvbankas.lt/mid-senior-meta-media-buyer-vilniuje/1-13757529,0.302,0.4937,
4,Marketing Technologies,Vilnius University,Join our Marketing Team as a Website and Content Specialist,https://en.cvbankas.lt/join-our-marketing-team-as-a-website-and-content-specialist-siauliuose/1-13746459,0.2368,0.5506,
5,Marketing Technologies,Vilnius University,Account Manager,https://en.cvbankas.lt/account-manager-vilniuje/1-12916695,0.21,0.4937,
6,Marketing Technologies,Vilnius University,Product Manager,https://en.cvbankas.lt/product-manager-vilniuje/1-13725955,0.173,0.5039,
7,Marketing Technologies,Vilnius University,IT verslo partneris (-ė),https://en.cvbankas.lt/it-verslo-partneris-e-vilniuje/1-13758821,0.1532,0.5588,
8,Marketing Technologies,Vilnius University,Riedmenų IT sistemų inžinierius (-ė),https://en.cvbankas.lt/riedmenu-it-sistemu-inzinierius-e-vilniuje/1-13715991,0.1432,0.5282,
9,Marketing Technologies,Vilnius University,Technologijų departamento direktorius (-ė),https://en.cvbankas.lt/technologiju-departamento-direktorius-e-klaipedoje/1-13740375,0.1275,0.5163,
10,Marketing Technologies,Vilnius University,IT KLIENTŲ APTARNAVIMO SPECIALISTAS (-Ė),https://en.cvbankas.lt/it-klientu-aptarnavimo-specialistas-e-vilniuje/1-12574351,0.1134,0.4784,
