rank,programme_name,institution,job_title,job_url,hybrid_score,semantic_score,top_skill_gaps
1,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,IT SISTEMŲ ADMINISTRATORIŲ (-Ę),https://en.cvbankas.lt/it-sistemu-administratoriu-e-vilniuje/1-13734017,0.3148,0.55,
2,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,IT Vadovas (-ė),https://en.cvbankas.lt/it-vadovas-e-kaune/1-13700339,0.2604,0.6098,
3,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,IT skyriaus vadovas (-ė),https://en.cvbankas.lt/it-skyriaus-vadovas-e-vilniuje/1-13758531,0.2328,0.6087,
4,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,IT INFRASTRUKTŪROS ADMINISTRATORIUS (-Ė),https://en.cvbankas.lt/it-infrastrukturos-administratorius-e-klaipedoje/1-13736439,0.2299,0.5544,troubleshoot; Lithuanian; electronics
5,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,IT sistemų testuotojas (-a),https://en.cvbankas.lt/it-sistemu-testuotojas-a-kaune/1-13761915,0.2097,0.5662,
6,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,IT administratorius (-ė),https://en.cvbankas.lt/it-administratorius-e-kaune/1-13637509,0.2067,0.5891,
7,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,IT Compliance & Process manager,https://en.cvbankas.lt/it-compliance-process-manager-vilniuje/1-13722075,0.1852,0.5578,
8,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,KIBERNETINIO SAUGUMO VADOVAS (-Ė),https://en.cvbankas.lt/kibernetinio-saugumo-vadovas-e-kaune/1-13760617,0.1626,0.625,
9,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,Cyber Security Specialist,https://en.cvbankas.lt/cyber-security-specialist-vilniuje/1-13680669,0.1623,0.5909,
10,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,IT VERSLO ANALITIKAS (-Ė),https://en.cvbankas.lt/it-verslo-analitikas-e-vilniuje/1-13685665,0.1497,0.587,
1,Development and Maintenance of Information Systems,Panevėžio kolegija/State Higher Education Institution,IT Compliance & Process manager,https://en.cvbankas.lt/it-compliance-process-manager-vilniuje/1-13722075,0.2036,0.5038,
2,Development and Maintenance of Information Systems,Panevėžio kolegija/State Higher Education Institution,IT Vadovas (-ė),https://en.cvbankas.lt/it-vadovas-e-kaune/1-13700339,0.2034,0.5188,
3,Development and Maintenance of Information Systems,Panevėžio kolegija/State Higher Education Institution,OSINT Specialistas,https://en.cvbankas.lt/osint-specialistas-vilniuje/1-13474247,0.1959,0.5218,
4,Development and Maintenance of Information Systems,Panevėžio kolegija/State Higher Education Institution,KIBERNETINIO SAUGUMO VADOVAS (-Ė),https://en.cvbankas.lt/kibernetinio-saugumo-vadovas-e-kaune/1-13760617,0.1602,0.5673,
5,Development and Maintenance of Information Systems,Panevėžio kolegija/State Higher Education Institution,IT skyriaus administratorius (-ė),https://en.cvbankas.lt/it-skyriaus-administratorius-e-klaipedoje/1-13740999,0.156,0.5014,
6,Development and Maintenance of Information Systems,Panevėžio kolegija/State Higher Education Institution,IT inžinierius (-ė),https://en.cvbankas.lt/it-inzinierius-e-vilniuje/1-13713495,0.1433,0.4993,
7,Development and Maintenance of Information Systems,Panevėžio kolegija/State Higher Education Institution,IT sistemų administratorius (-ė),https://en.cvbankas.lt/it-sistemu-administratorius-e-vilniuje/1-13756627,0.1311,0.5122,
8,Development and Maintenance of Information Systems,Panevėžio kolegija/State Higher Education Institution,SOC analitikas (-ė) kibernetinių grėsmių paieškai,https://en.cvbankas.lt/soc-analitikas-e-kibernetiniu-gresmiu-paieskai-vilniuje/1-13395656,0.1204,0.5111,
9,Development and Maintenance of Information Systems,Panevėžio kolegija/State Higher Education Institution,.NET Developer,https://en.cvbankas.lt/net-developer-kaune/1-13546657,0.1198,0.5075,
10,Development and Maintenance of Information Systems,Panevėžio kolegija/State Higher Education Institution,Informacijos saugos specialistas (-ė),https://en.cvbankas.lt/informacijos-saugos-specialistas-e-vilniuje/1-13751575,0.1168,0.5242,
1,Information Systems,Kaunas University of Technology,IT sistemų testuotojas (-a),https://en.cvbankas.lt/it-sistemu-testuotojas-a-kaune/1-13761915,0.2475,0.5121,
2,Information Systems,Kaunas University of Technology,Verslo sistemų ir procesų analitikas (-ė),https://en.cvbankas.lt/verslo-sistemu-ir-procesu-analitikas-e-vilniuje/1-13699299,0.1991,0.5129,
3,Information Systems,Kaunas University of Technology,VYR. DUOMENŲ ANALITIKAS (-Ė),https://en.cvbankas.lt/vyr-duomenu-analitikas-e-vilniuje/1-13739827,0.1958,0.5165,data analytics; digitization; management department processes
4,Information Systems,Kaunas University of Technology,IT sistemų testuotojas (-a),https://en.cvbankas.lt/it-sistemu-testuotojas-a-kaune/1-13736493,0.195,0.5139,MySQL; morality; computer technology
5,Information Systems,Kaunas University of Technology,IT skyriaus administratorius (-ė),https://en.cvbankas.lt/it-skyriaus-administratorius-e-klaipedoje/1-13740999,0.1791,0.5215,
6,Information Systems,Kaunas University of Technology,Join our team as a JUNIOR System Analyst!,https://en.cvbankas.lt/join-our-team-as-a-junior-system-analyst-darbas-namuose/1-13699867,0.1779,0.5377,
7,Information Systems,Kaunas University of Technology,IT INFRASTRUKTŪROS ADMINISTRATORIUS (-Ė),https://en.cvbankas.lt/it-infrastrukturos-administratorius-e-klaipedoje/1-13736439,0.1753,0.5361,
8,Information Systems,Kaunas University of Technology,IT ADMINISTRATORIUS (-Ė),https://en.cvbankas.lt/it-administratorius-e-klaipedoje/1-13759179,0.1715,0.5324,
9,Information Systems,Kaunas University of Technology,DATA ENGINEER with verification,https://www.linkedin.com/jobs/view/4328710459/?eBP=CwEAAAGdXVTxFfylTwn5FhVuExSS7O-QXtgOj66BYmJuT5ZfOGG6DXV-oxGHbbtbJgiMgw4aIbELH0z0XdfK0KxiiVLl5qoU_qaRDBIAtoH7rHeH63gx-MsOsG4jNF1YJz7qO6rHJrt4UXi6PklDI9PiknyDtc45vcS-SRwv9JsqlXcmnzIuMDQMAZrNjYRYwsaWOqxkSeTrgF0-7kSy0R4UUFQVnU3bJaoCFX8H53e-Ji-c6X1YoegRyKsZQIZxZKAQnimjF6Hc56yr8jj13jo8g8UvIdDQHACtd6sTRMgZa_9fZVUaMwmZhQdOgtsGMLC-j20oepaYXfUXBTIXvNuT28H8awvc3wmt3VIfqa9z3wDd79JuqGUPDdId2b1fsQhbsvdbGSj7aHxRfmqKSb1rQ92bDSswLi46M189lsUQyU11HAYoluucRLLjaIqqDrFG0k9FK8ou5gk5_VexVfZW_FIy7nRx_36ni7VgVlTD50VQWLiHl_p1yOOVyc6LzuEem6ITm887Tgmia67EAVVRRXvW5NAczFSpJp4tug&refId=8E32x5IjZ%2BhE0AVcGSKhpw%3D%3D&trackingId=XMB19EEnT64C5KFJO5HxtA%3D%3D&trk=flagship3_search_srp_jobs,0.1663,0.537,ICT project management methodologies; automation technology; computer technology
10,Information Systems,Kaunas University of Technology,Pardavimų inžinierius (-ė) KLAIPĖDA,https://en.cvbankas.lt/pardavimu-inzinierius-e-klaipeda-klaipedoje/1-13737297,0.1648,0.5279,
1,Information Systems,Vilnius Gediminas Technical University,IT sistemų testuotojas (-a),https://en.cvbankas.lt/it-sistemu-testuotojas-a-kaune/1-13761915,0.3366,0.5571,
2,Information Systems,Vilnius Gediminas Technical University,IT sistemų testuotojas (-a),https://en.cvbankas.lt/it-sistemu-testuotojas-a-kaune/1-13736493,0.2664,0.5543,MySQL; SQL
3,Information Systems,Vilnius Gediminas Technical University,IT System Team Coordinator,https://en.cvbankas.lt/it-system-team-coordinator-vilniuje/1-13766799,0.2641,0.5262,
4,Information Systems,Vilnius Gediminas Technical University,Duomenų analitikas (-ė) - inžinierius (-ė),https://en.cvbankas.lt/duomenu-analitikas-e-inzinierius-e-kaune/1-13743279,0.2439,0.5316,
5,Information Systems,Vilnius Gediminas Technical University,Pardavimų inžinierius (-ė) KLAIPĖDA,https://en.cvbankas.lt/pardavimu-inzinierius-e-klaipeda-klaipedoje/1-13737297,0.1897,0.5506,
6,Information Systems,Vilnius Gediminas Technical University,B2B IT Projektų vadovas (-ė),https://en.cvbankas.lt/b2b-it-projektu-vadovas-e-vilniuje/1-13758119,0.1769,0.5467,
7,Information Systems,Vilnius Gediminas Technical University,Vyriausiasis (-oji) duomenų inžinierius (-ė),https://en.cvbankas.lt/vyriausiasis-oji-duomenu-inzinierius-e-vilniuje/1-13752215,0.1493,0.5272,migration; data models; Python (computer programming)
8,Information Systems,Vilnius Gediminas Technical University,Duomenų inžinierius (-ė) – analitikas (-ė),https://en.cvbankas.lt/duomenu-inzinierius-e-analitikas-e-kaune/1-13706283,0.1487,0.5331,"assume responsibility; data extraction, transformation and loading tools; data analytics"
9,Information Systems,Vilnius Gediminas Technical University,BI programuotojas (-a),https://en.cvbankas.lt/bi-programuotojas-a-kaune/1-13753903,0.1462,0.5305,
10,Information Systems,Vilnius Gediminas Technical University,Sistemos ekspertas (-ė),https://en.cvbankas.lt/sistemos-ekspertas-e-vilniuje/1-13751383,0.142,0.556,
1,Marketing Technologies,Vilnius University,"Analytics Engineer, Marketing DSA with verification",https://www.linkedin.com/jobs/view/4383765010/?eBP=CwEAAAGdXVTxFLoxuruRUTIWC7aXpyxmd_rYd3jzSZrZQ_aGLu302_a660iNkbLI-Cs9w0z9tCLfUHZ5xPx38lbPUmXhbJIEDKu7k51R00X2CSRdwcYxVv3Xvhdlpw3dVkFp5MRi0vNiT8cC28QYzse3EEVU1dlGt4Nlq7XMonrGvfXj_m138pGwf-UfvFa0h7bbkuXKVhahSBIaaeWcUA4sqy2qPp3k97cQY5TU7VxUczd7mHASGtKOK5zqSqOph2lZ9xRdy5MX1_whxVbUjHhRRY6DQ0bhRjDEfYsYITPInRM9fZ1eYnWqz_Ycgq8Ci__fkcGAtZpelCdu_7ETpsp6cJUL_WOtuAeuWVDnsTupPRRBSKYTjjlN2v9PNnM_jeEtKaOUWL3yaJ3syiIVaHG-WyyxRgAAvESz4Ee7R-KqaH7nF52EqFsKpf_NAW7QtZT-ztcCrmeM75Hl72nPCGgFss2nfz1_NmjPXusgeaNCQ4i1rA78qZbuifuH3KiRpy4BNZ909UP1ToUFUZXFdiW8uXycqKUV-lFiZk0HiQ&refId=8E32x5IjZ%2BhE0AVcGSKhpw%3D%3D&trackingId=h3MUKOIPXw1Bhio%2BT1QZnA%3D%3D&trk=flagship3_search_srp_jobs,0.3903,0.455,
2,Marketing Technologies,Vilnius University,E-commerce Customer Success Manager (Account Manager),https://en.cvbankas.lt/e-commerce-customer-success-manager-account-manager-vilniuje/1-13619331,0.2515,0.4871,
3,Marketing Technologies,Vilnius University,Marketingo ir pardavimų vadovo asistentas (-ė),https://en.cvbankas.lt/marketingo-ir-pardavimu-vadovo-asistentas-e-vilniuje/1-13288765,0.2409,0.5156,
